,datedim,vehicle_name,port_name,vehicle_type,eva_name,eva_type,eva_accuracy,event
698,11/30/2023,,,,,,,
699,12/1/2023,86Progress,MRM2 / SM Zenith,Progress,,,,Dock
700,12/2/2023,SpX-29,N2 Fwd / PMA-2,Cargo Dragon,,,,Undock
701,12/3/2023,,,,,,,
702,12/4/2023,,,,,,,
703,12/5/2023,,,,,,,
704,12/6/2023,,,,,,,
705,12/7/2023,,,,,,,
706,12/8/2023,,,,,,,
707,12/9/2023,,,,,,,
708,12/10/2023,,,,,,,
709,12/11/2023,,,,,,,
710,12/12/2023,,,,,,,
711,12/13/2023,,,,,,,
712,12/14/2023,,,,,,,
713,12/15/2023,,,,,,,
714,12/16/2023,,,,,,,
715,12/17/2023,,,,,,,
716,12/18/2023,,,,,,,
717,12/19/2023,,,,,,,
718,12/20/2023,,,,,,,
719,12/21/2023,,,,,,,
720,12/22/2023,,,,,,,
721,12/23/2023,,,,,,,
722,12/24/2023,,,,,,,
723,12/25/2023,,,,,,,
724,12/26/2023,,,,,,,
725,12/27/2023,,,,,,,
726,12/28/2023,,,,,,,
727,12/29/2023,,,,,,,
728,12/30/2023,,,,,,,
729,12/31/2023,,,,,,,
730,1/1/2024,,,,,,,
731,1/2/2024,,,,,,,
732,1/3/2024,,,,,,,
733,1/4/2024,,,,,,,
734,1/5/2024,,,,,,,
735,1/6/2024,,,,,,,
736,1/7/2024,,,,,,,
737,1/8/2024,,,,,,,
738,1/9/2024,,,,,,,
739,1/10/2024,Ax-3,N2 Fwd / PMA-2,PAM - SpaceX,,,,Launch
740,1/11/2024,Ax-3,N2 Fwd / PMA-2,PAM - SpaceX,,,,Dock
741,1/12/2024,,,,,,,
742,1/13/2024,,,,,,,
743,1/14/2024,,,,,,,
744,1/15/2024,,,,,,,
745,1/16/2024,,,,,,,
746,1/17/2024,DCC-1,N2 Nadir,Dream Chaser,,,,Launch
747,1/18/2024,,,,,,,
748,1/19/2024,,,,,,,
749,1/20/2024,,,,,,,
750,1/21/2024,DCC-1,N2 Nadir,Dream Chaser,,,,Dock
751,1/22/2024,,,,,,,
752,1/23/2024,,,,,,,
753,1/24/2024,,,,,,,
754,1/25/2024,Ax-3,N2 Fwd / PMA-2,PAM - SpaceX,,,,Undock
755,1/26/2024,,,,,,,
756,1/27/2024,,,,,,,
757,1/28/2024,,,,,,,
758,1/29/2024,NG-20,N1 Nadir,CRS2 Cygnus,,,,Launch
759,1/30/2024,,,,,,,
760,1/31/2024,NG-20,N1 Nadir,CRS2 Cygnus,,,,Dock
761,2/1/2024,,,,,,,
762,2/2/2024,,,,,,,
763,2/3/2024,Crew-7,N2 Zenith,Crew Dragon,,,,Relocate 1
764,2/4/2024,,,,,,,
765,2/5/2024,,,,,,,
766,2/6/2024,,,,,,,
767,2/7/2024,,,,,,,
768,2/8/2024,,,,,,,
769,2/9/2024,,,,,,,
770,2/10/2024,,,,,,,
771,2/11/2024,,,,,,,
772,2/12/2024,,,,,,,
773,2/13/2024,85Progress,SM-Aft,Progress,,,,Undock
774,2/14/2024,,,,,,,
775,2/15/2024,87Progress,SM-Aft,Progress,,,,Launch
776,2/16/2024,,,,,,,
777,2/17/2024,87Progress,SM-Aft,Progress,,,,Dock
778,2/18/2024,Crew-8,N2 Zenith,Crew Dragon,,,,Launch
779,2/19/2024,Crew-8,N2 Zenith,Crew Dragon,,,,Dock
780,2/20/2024,,,,,,,
781,2/21/2024,,,,,,,
782,2/22/2024,,,,,,,
783,2/23/2024,,,,,,,
784,2/24/2024,,,,,,,
785,2/25/2024,Crew-7,N2 Zenith,Crew Dragon,,,,Undock
786,2/26/2024,,,,,,,
787,2/27/2024,,,,,,,
788,2/28/2024,,,,,,,
789,2/29/2024,,,,,,,
790,3/1/2024,,,,,,,
791,3/2/2024,,,,,,,
792,3/3/2024,,,,,,,
793,3/4/2024,SpX-30,N2 Fwd / PMA-2,Cargo Dragon,,,,Launch
794,3/5/2024,SpX-30,N2 Fwd / PMA-2,Cargo Dragon,,,,Dock
795,3/6/2024,DCC-1,N2 Nadir,Dream Chaser,,,,Undock
796,3/7/2024,,,,,,,
797,3/8/2024,,,,,,,
798,3/9/2024,,,,,,,
799,3/10/2024,,,,,,,
800,3/11/2024,,,,,,,
801,3/12/2024,,,,,,,
802,3/13/2024,71Soyuz,NM,Soyuz,,,,Dock
803,3/14/2024,,,,,,,
804,3/15/2024,,,,,,,
805,3/16/2024,,,,,,,
806,3/17/2024,,,,,,,
807,3/18/2024,,,,,,,
808,3/19/2024,,,,,,,
809,3/20/2024,,,,,,,
810,3/21/2024,,,,,,,
811,3/22/2024,,,,,,,
812,3/23/2024,,,,,,,
813,3/24/2024,,,,,,,
814,3/25/2024,70Soyuz,MRM1 / FGB Nadir,Soyuz,,,,Undock
815,3/26/2024,,,,,,,
816,3/27/2024,,,,,,,
817,3/28/2024,,,,,,,
818,3/29/2024,,,,,,,
819,3/30/2024,,,,,,,
820,3/31/2024,,,,,,,
821,4/1/2024,,,,,,,
822,4/2/2024,,,,,,,
823,4/3/2024,,,,,,,
824,4/4/2024,SpX-30,N2 Fwd / PMA-2,Cargo Dragon,,,,Undock
825,4/5/2024,,,,,,,
826,4/6/2024,,,,,,,
827,4/7/2024,,,,,,,
828,4/8/2024,,,,,,,
829,4/9/2024,,,,,,,
830,4/10/2024,,,,,,,
831,4/11/2024,Boe-CFT,N2 Fwd / PMA-2,CST-100 Demo,,,,Launch
832,4/12/2024,Boe-CFT,N2 Fwd / PMA-2,CST-100 Demo,,,,Dock
833,4/13/2024,,,,,,,
834,4/14/2024,,,,,,,
835,4/15/2024,,,,R-62,RS,*Estimated,EVA
836,4/16/2024,,,,,,,
837,4/17/2024,,,,,,,
838,4/18/2024,,,,,,,
839,4/19/2024,,,,,,,
840,4/20/2024,Boe-CFT,N2 Fwd / PMA-2,CST-100 Demo,,,,Undock
841,4/21/2024,,,,,,,
842,4/22/2024,,,,,,,
843,4/23/2024,,,,,,,
844,4/24/2024,,,,,,,
845,4/25/2024,,,,,,,
846,4/26/2024,,,,,,,
847,4/27/2024,,,,,,,
848,4/28/2024,,,,,,,
849,4/29/2024,,,,,,,
850,4/30/2024,,,,,,,
851,5/1/2024,HTV-X1,N2 Nadir,HTV-X,,,,Launch
852,5/2/2024,,,,,,,
853,5/3/2024,,,,,,,
854,5/4/2024,HTV-X1,N2 Nadir,HTV-X,,,,Dock
855,5/5/2024,,,,,,,
856,5/6/2024,,,,,,,
857,5/7/2024,,,,,,,
858,5/8/2024,,,,,,,
859,5/9/2024,,,,,,,
860,5/10/2024,NG-20,N1 Nadir,CRS2 Cygnus,,,,Undock
861,5/10/2024,Ax-4,N2 Fwd / PMA-2,PAM - SpaceX,,,,Launch
862,5/11/2024,Ax-4,N2 Fwd / PMA-2,PAM - SpaceX,,,,Dock
863,5/12/2024,,,,,,,
864,5/13/2024,,,,,,,
865,5/14/2024,,,,,,,
866,5/15/2024,,,,,,,
867,5/16/2024,,,,,,,
868,5/17/2024,,,,,,,
869,5/18/2024,,,,,,,
870,5/19/2024,,,,,,,
871,5/20/2024,,,,,,,
872,5/21/2024,,,,,,,
873,5/22/2024,,,,,,,
874,5/23/2024,,,,,,,
875,5/24/2024,,,,,,,
876,5/25/2024,Ax-4,N2 Fwd / PMA-2,PAM - SpaceX,,,,Undock
877,5/26/2024,,,,,,,
878,5/27/2024,,,,,,,
879,5/28/2024,,,,,,,
880,5/29/2024,,,,,,,
881,5/30/2024,86Progress,MRM2 / SM Zenith,Progress,,,,Undock
882,5/31/2024,88Progress,MRM2 / SM Zenith,Progress,,,,Launch
883,6/1/2024,,,,,,,
884,6/2/2024,88Progress,MRM2 / SM Zenith,Progress,,,,Dock
885,6/3/2024,,,,,,,
886,6/4/2024,,,,,,,
887,6/5/2024,,,,,,,
888,6/6/2024,,,,,,,
889,6/7/2024,,,,,,,
890,6/8/2024,,,,,,,
891,6/9/2024,,,,,,,
892,6/10/2024,,,,,,,
893,6/11/2024,,,,,,,
894,6/12/2024,,,,,,,
895,6/13/2024,,,,,,,
896,6/14/2024,,,,,,,
897,6/15/2024,,,,,,,
898,6/16/2024,,,,,,,
899,6/17/2024,,,,,,,
900,6/18/2024,,,,,,,
901,6/19/2024,,,,,,,
902,6/20/2024,,,,,,,
903,6/21/2024,,,,,,,
904,6/22/2024,,,,,,,
905,6/23/2024,,,,,,,
906,6/24/2024,,,,,,,
907,6/25/2024,,,,,,,
908,6/26/2024,,,,,,,
909,6/27/2024,,,,,,,
910,6/28/2024,,,,,,,
911,6/29/2024,,,,,,,
912,6/30/2024,SpX-31,N2 Fwd / PMA-2,Cargo Dragon,,,,Launch
913,7/1/2024,SpX-31,N2 Fwd / PMA-2,Cargo Dragon,,,,Dock
914,7/2/2024,,,,,,,
915,7/3/2024,,,,,,,
916,7/4/2024,,,,,,,
917,7/5/2024,,,,,,,
918,7/6/2024,,,,,,,
919,7/7/2024,,,,,,,
920,7/8/2024,,,,,,,
921,7/9/2024,,,,,,,
922,7/10/2024,,,,,,,
923,7/11/2024,,,,,,,
924,7/12/2024,,,,,,,
925,7/13/2024,,,,,,,
926,7/14/2024,,,,,,,
927,7/15/2024,,,,,,,
928,7/16/2024,,,,U (IROSA Prep 2A),US,*Estimated,EVA
929,7/17/2024,,,,,,,
930,7/18/2024,,,,,,,
931,7/19/2024,,,,U (IROSA Prep 3B),US,*Estimated,EVA
932,7/20/2024,,,,,,,
933,7/21/2024,,,,,,,
934,7/22/2024,,,,,,,
935,7/23/2024,,,,,,,
936,7/24/2024,,,,,,,
937,7/25/2024,,,,,,,
938,7/26/2024,,,,,,,
939,7/27/2024,,,,,,,
940,7/28/2024,,,,,,,
941,7/29/2024,,,,,,,
942,7/30/2024,,,,,,,
943,7/31/2024,,,,,,,
944,8/1/2024,SpX-31,N2 Fwd / PMA-2,Cargo Dragon,,,,Undock
945,8/2/2024,,,,,,,
946,8/3/2024,,,,,,,
947,8/4/2024,USCV-9,N2 Fwd / PMA-2,USCV,,,,Launch
948,8/5/2024,USCV-9,N2 Fwd / PMA-2,USCV,,,,Dock
949,8/6/2024,,,,,,,
950,8/7/2024,,,,,,,
951,8/8/2024,,,,,,,
952,8/9/2024,,,,,,,
953,8/10/2024,,,,,,,
954,8/11/2024,Crew-8,N2 Zenith,Crew Dragon,,,,Undock
955,8/12/2024,,,,,,,
956,8/13/2024,,,,,,,
957,8/14/2024,,,,,,,
958,8/15/2024,,,,,,,
959,8/16/2024,,,,,,,
960,8/17/2024,87Progress,SM-Aft,Progress,,,,Undock
961,8/18/2024,,,,,,,
962,8/19/2024,89Progress,SM-Aft,Progress,,,,Launch
963,8/20/2024,,,,,,,
964,8/21/2024,89Progress,SM-Aft,Progress,,,,Dock
965,8/22/2024,,,,,,,
966,8/23/2024,,,,,,,
967,8/24/2024,,,,,,,
968,8/25/2024,NG-21,N1 Nadir,CRS2 Cygnus,,,,Launch
969,8/26/2024,,,,,,,
970,8/27/2024,NG-21,N1 Nadir,CRS2 Cygnus,,,,Dock
971,8/28/2024,HTV-X1,N2 Nadir,HTV-X,,,,Relocate 1
972,8/29/2024,HTV-X1,N2 Nadir,HTV-X,,,,Undock
973,8/30/2024,,,,,,,
974,8/31/2024,,,,,,,
975,9/1/2024,,,,,,,
976,9/2/2024,,,,,,,
977,9/3/2024,,,,,,,
978,9/4/2024,,,,,,,
979,9/5/2024,,,,,,,
980,9/6/2024,,,,,,,
981,9/7/2024,,,,,,,
982,9/8/2024,,,,,,,
983,9/9/2024,,,,,,,
984,9/10/2024,72Soyuz,MRM1 / FGB Nadir,Soyuz,,,,Dock
985,9/11/2024,,,,,,,
986,9/12/2024,,,,,,,
987,9/13/2024,,,,,,,
988,9/14/2024,,,,,,,
989,9/15/2024,DCC-2,N2 Nadir,Dream Chaser,,,,Launch
990,9/16/2024,,,,,,,
991,9/17/2024,,,,,,,
992,9/18/2024,,,,,,,
993,9/19/2024,DCC-2,N2 Nadir,Dream Chaser,,,,Dock
994,9/20/2024,71Soyuz,NM,Soyuz,,,,Undock
995,9/21/2024,,,,,,,
996,9/22/2024,,,,,,,
997,9/23/2024,,,,,,,
998,9/24/2024,,,,,,,
999,9/25/2024,,,,,,,
1000,9/26/2024,,,,,,,
1001,9/27/2024,,,,,,,
1002,9/28/2024,,,,,,,
1003,9/29/2024,,,,,,,
1004,9/30/2024,,,,,,,
1005,10/1/2024,,,,,,,
1006,10/2/2024,,,,,,,
1007,10/3/2024,,,,,,,
1008,10/4/2024,,,,,,,
1009,10/5/2024,,,,,,,
1010,10/6/2024,,,,,,,
1011,10/7/2024,,,,,,,
1012,10/8/2024,,,,,,,
1013,10/9/2024,,,,,,,
1014,10/10/2024,,,,,,,
1015,10/11/2024,,,,,,,
1016,10/12/2024,,,,,,,
1017,10/13/2024,,,,,,,
1018,10/14/2024,,,,,,,
1019,10/15/2024,,,,U (AMS Prep),US,*Estimated,EVA
1020,10/16/2024,,,,,,,
1021,10/17/2024,,,,,,,
1022,10/18/2024,,,,,,,
1023,10/19/2024,DCC-2,N2 Nadir,Dream Chaser,,,,Undock
1024,10/20/2024,,,,,,,
1025,10/21/2024,,,,,,,
1026,10/22/2024,,,,,,,
1027,10/23/2024,,,,,,,
1028,10/24/2024,,,,,,,
1029,10/25/2024,,,,,,,
1030,10/26/2024,,,,,,,
1031,10/27/2024,,,,,,,
1032,10/28/2024,,,,,,,
1033,10/29/2024,,,,,,,
1034,10/30/2024,,,,,,,
1035,10/31/2024,,,,,,,
1036,11/1/2024,PAM-5,N2 Zenith,PAM,,,,Launch
1037,11/2/2024,PAM-5,N2 Zenith,PAM,,,,Dock
1038,11/3/2024,,,,,,,
1039,11/4/2024,,,,,,,
1040,11/5/2024,,,,,,,
1041,11/6/2024,,,,,,,
1042,11/7/2024,,,,,,,
1043,11/8/2024,,,,,,,
1044,11/9/2024,,,,,,,
1045,11/10/2024,,,,,,,
1046,11/11/2024,,,,,,,
1047,11/12/2024,,,,,,,
1048,11/13/2024,,,,,,,
1049,11/14/2024,,,,,,,
1050,11/15/2024,,,,,,,
1051,11/16/2024,PAM-5,N2 Zenith,PAM,,,,Undock
1052,11/17/2024,,,,,,,
1053,11/18/2024,,,,,,,
1054,11/19/2024,,,,,,,
1055,11/20/2024,,,,,,,
1056,11/21/2024,,,,,,,
1057,11/22/2024,,,,,,,
1058,11/23/2024,,,,,,,
1059,11/24/2024,,,,,,,
1060,11/25/2024,,,,,,,
1061,11/26/2024,,,,,,,
1062,11/27/2024,,,,,,,
1063,11/28/2024,,,,,,,
1064,11/29/2024,,,,,,,
1065,11/30/2024,,,,,,,
1066,12/1/2024,,,,,,,
1067,12/2/2024,,,,,,,
1068,12/3/2024,HTV-X2,N2 Nadir,HTV-X,,,,Launch
1069,12/4/2024,,,,,,,
1070,12/5/2024,HTV-X2,N2 Nadir,HTV-X,,,,Dock
1071,12/5/2024,88Progress,MRM2 / SM Zenith,Progress,,,,Undock
1072,12/5/2024,NG-21,N1 Nadir,CRS2 Cygnus,,,,Undock
1073,12/6/2024,,,,,,,
1074,12/7/2024,90Progress,MRM2 / SM Zenith,Progress,,,,Launch
1075,12/8/2024,,,,,,,
1076,12/9/2024,90Progress,MRM2 / SM Zenith,Progress,,,,Dock
1077,12/10/2024,,,,,,,
1078,12/11/2024,,,,,,,
1079,12/12/2024,,,,,,,
1080,12/13/2024,,,,,,,
1081,12/14/2024,,,,,,,
1082,12/15/2024,,,,,,,
1083,12/16/2024,,,,,,,
1084,12/17/2024,,,,,,,
1085,12/18/2024,,,,,,,
1086,12/19/2024,,,,,,,
1087,12/20/2024,,,,,,,
1088,12/21/2024,,,,,,,
1089,12/22/2024,,,,,,,
1090,12/23/2024,,,,,,,
1091,12/24/2024,,,,,,,
1092,12/25/2024,,,,,,,
1093,12/26/2024,,,,,,,
1094,12/27/2024,,,,,,,
1095,12/28/2024,,,,,,,
1096,12/29/2024,,,,,,,
1097,12/30/2024,SPM,NM,Module,,,,Launch
1098,12/31/2024,SPM,NM,Module,,,,Dock
1099,12/31/2024,SpX-32,N2 Zenith,Cargo Dragon,,,,Launch
1100,1/1/2025,SpX-32,N2 Zenith,Cargo Dragon,,,,Dock
1101,1/2/2025,,,,,,,
1102,1/3/2025,,,,,,,
1103,1/4/2025,,,,,,,
1104,1/5/2025,,,,,,,
1105,1/6/2025,,,,,,,
1106,1/7/2025,,,,,,,
1107,1/8/2025,,,,,,,
1108,1/9/2025,,,,,,,
1109,1/10/2025,,,,,,,
1110,1/11/2025,,,,,,,
1111,1/12/2025,,,,,,,
1112,1/13/2025,,,,,,,
1113,1/14/2025,,,,,,,
1114,1/15/2025,,,,,,,
1115,1/16/2025,,,,,,,
1116,1/17/2025,,,,,,,
1117,1/18/2025,,,,,,,
1118,1/19/2025,,,,,,,
1119,1/20/2025,,,,,,,
1120,1/21/2025,,,,,,,
1121,1/22/2025,,,,,,,
1122,1/23/2025,,,,,,,
1123,1/24/2025,,,,,,,
1124,1/25/2025,,,,,,,
1125,1/26/2025,,,,,,,
1126,1/27/2025,,,,,,,
1127,1/28/2025,,,,,,,
1128,1/29/2025,,,,,,,
1129,1/30/2025,,,,,,,
1130,1/31/2025,,,,,,,
1131,2/1/2025,NG-22,N1 Nadir,CRS2 Cygnus,,,,Launch
1132,2/2/2025,,,,,,,
1133,2/3/2025,,,,,,,
1134,2/4/2025,HTV-X2,N2 Nadir,HTV-X,,,,Relocate 1
1135,2/4/2025,NG-22,N1 Nadir,CRS2 Cygnus,,,,Dock
1136,2/4/2025,SpX-32,N2 Zenith,Cargo Dragon,,,,Undock
1137,2/5/2025,HTV-X2,N2 Nadir,HTV-X,,,,Undock
1138,2/6/2025,USCV-10,N2 Zenith,USCV,,,,Launch
1139,2/7/2025,USCV-10,N2 Zenith,USCV,,,,Dock
1140,2/8/2025,,,,,,,
1141,2/9/2025,,,,,,,
1142,2/10/2025,,,,,,,
1143,2/11/2025,,,,,,,
1144,2/12/2025,,,,,,,
1145,2/13/2025,USCV-9,N2 Fwd / PMA-2,USCV,,,,Undock
1146,2/14/2025,,,,,,,
1147,2/15/2025,,,,,,,
1148,2/16/2025,,,,,,,
1149,2/17/2025,,,,,,,
1150,2/18/2025,,,,,,,
1151,2/19/2025,,,,,,,
1152,2/20/2025,,,,,,,
1153,2/21/2025,,,,,,,
1154,2/22/2025,89Progress,SM-Aft,Progress,,,,Undock
1155,2/23/2025,,,,,,,
1156,2/24/2025,91Progress,SM-Aft,Progress,,,,Launch
1157,2/25/2025,,,,,,,
1158,2/26/2025,91Progress,SM-Aft,Progress,,,,Dock
1159,2/27/2025,,,,,,,
1160,2/28/2025,,,,,,,
1161,3/1/2025,,,,,,,
1162,3/2/2025,,,,,,,
1163,3/3/2025,,,,,,,
1164,3/4/2025,,,,,,,
1165,3/5/2025,,,,,,,
1166,3/6/2025,,,,,,,
1167,3/7/2025,,,,,,,
1168,3/8/2025,,,,,,,
1169,3/9/2025,,,,,,,
1170,3/10/2025,,,,,,,
1171,3/11/2025,,,,,,,
1172,3/12/2025,,,,,,,
1173,3/13/2025,,,,,,,
1174,3/14/2025,,,,,,,
1175,3/15/2025,73Soyuz,NM,Soyuz,,,,Dock
1176,3/16/2025,,,,,,,
1177,3/17/2025,,,,,,,
1178,3/18/2025,,,,,,,
1179,3/19/2025,,,,,,,
1180,3/20/2025,,,,,,,
1181,3/21/2025,,,,,,,
1182,3/22/2025,,,,,,,
1183,3/23/2025,,,,,,,
1184,3/24/2025,,,,,,,
1185,3/25/2025,72Soyuz,MRM1 / FGB Nadir,Soyuz,,,,Undock
1186,3/26/2025,,,,,,,
1187,3/27/2025,,,,,,,
1188,3/28/2025,,,,,,,
1189,3/29/2025,,,,,,,
1190,3/30/2025,,,,,,,
1191,3/31/2025,,,,,,,
1192,4/1/2025,,,,,,,
1193,4/2/2025,,,,,,,
1194,4/3/2025,,,,,,,
1195,4/4/2025,,,,,,,
1196,4/5/2025,,,,,,,
1197,4/6/2025,,,,,,,
1198,4/7/2025,,,,,,,
1199,4/8/2025,,,,,,,
1200,4/9/2025,,,,,,,
1201,4/10/2025,,,,,,,
1202,4/11/2025,,,,,,,
1203,4/12/2025,,,,,,,
1204,4/13/2025,,,,,,,
1205,4/14/2025,,,,,,,
1206,4/15/2025,,,,,,,
1207,4/16/2025,,,,,,,
1208,4/17/2025,,,,,,,
1209,4/18/2025,,,,,,,
1210,4/19/2025,,,,,,,
1211,4/20/2025,,,,,,,
1212,4/21/2025,,,,,,,
1213,4/22/2025,,,,,,,
1214,4/23/2025,,,,,,,
1215,4/24/2025,,,,,,,
1216,4/25/2025,,,,,,,
1217,4/26/2025,,,,,,,
1218,4/27/2025,,,,,,,
1219,4/28/2025,,,,,,,
1220,4/29/2025,,,,,,,
1221,4/30/2025,,,,,,,
1222,5/1/2025,,,,,,,
1223,5/2/2025,,,,,,,
1224,5/3/2025,,,,,,,
1225,5/4/2025,,,,,,,
1226,5/5/2025,,,,,,,
1227,5/6/2025,,,,,,,
1228,5/7/2025,,,,,,,
1229,5/8/2025,,,,,,,
1230,5/9/2025,,,,,,,
1231,5/10/2025,,,,,,,
1232,5/11/2025,,,,,,,
1233,5/12/2025,,,,,,,
1234,5/13/2025,,,,,,,
1235,5/14/2025,,,,,,,
1236,5/15/2025,PAM-6,N2 Fwd / PMA-2,PAM,,,,Launch
1237,5/16/2025,DCC-3,N2 Nadir,Dream Chaser,,,,Launch
1238,5/16/2025,PAM-6,N2 Fwd / PMA-2,PAM,,,,Dock
1239,5/17/2025,,,,,,,
1240,5/18/2025,,,,,,,
1241,5/19/2025,,,,,,,
1242,5/20/2025,DCC-3,N2 Nadir,Dream Chaser,,,,Dock
1243,5/21/2025,,,,,,,
1244,5/22/2025,,,,,,,
1245,5/23/2025,,,,,,,
1246,5/24/2025,,,,,,,
1247,5/25/2025,,,,,,,
1248,5/26/2025,,,,,,,
1249,5/27/2025,,,,,,,
1250,5/28/2025,,,,,,,
1251,5/29/2025,,,,,,,
1252,5/30/2025,PAM-6,N2 Fwd / PMA-2,PAM,,,,Undock
1253,5/31/2025,,,,,,,
1254,6/1/2025,,,,,,,
1255,6/2/2025,,,,,,,
1256,6/3/2025,,,,,,,
1257,6/4/2025,NG-22,N1 Nadir,CRS2 Cygnus,,,,Undock
1258,6/5/2025,,,,,,,
1259,6/6/2025,,,,,,,
1260,6/7/2025,,,,,,,
1261,6/8/2025,,,,,,,
1262,6/9/2025,,,,,,,
1263,6/10/2025,,,,,,,
1264,6/11/2025,,,,,,,
1265,6/12/2025,90Progress,MRM2 / SM Zenith,Progress,,,,Undock
1266,6/13/2025,,,,,,,
1267,6/14/2025,92Progress,MRM2 / SM Zenith,Progress,,,,Launch
1268,6/15/2025,,,,,,,
1269,6/16/2025,92Progress,MRM2 / SM Zenith,Progress,,,,Dock
1270,6/17/2025,,,,,,,
1271,6/18/2025,,,,,,,
1272,6/19/2025,,,,,,,
1273,6/20/2025,,,,,,,
1274,6/21/2025,,,,,,,
1275,6/22/2025,,,,,,,
1276,6/23/2025,,,,,,,
1277,6/24/2025,,,,,,,
1278,6/25/2025,,,,,,,
1279,6/26/2025,,,,,,,
1280,6/27/2025,,,,,,,
1281,6/28/2025,,,,,,,
1282,6/29/2025,,,,,,,
1283,6/30/2025,,,,,,,
1284,7/1/2025,,,,,,,
1285,7/2/2025,,,,,,,
1286,7/3/2025,,,,,,,
1287,7/4/2025,,,,,,,
1288,7/5/2025,,,,,,,
1289,7/6/2025,,,,,,,
1290,7/7/2025,,,,,,,
1291,7/8/2025,,,,,,,
1292,7/9/2025,,,,,,,
1293,7/10/2025,,,,,,,
1294,7/11/2025,,,,,,,
1295,7/12/2025,,,,,,,
1296,7/13/2025,,,,,,,
1297,7/14/2025,,,,,,,
1298,7/15/2025,,,,,,,
1299,7/16/2025,,,,,,,
1300,7/17/2025,,,,,,,
1301,7/18/2025,,,,,,,
1302,7/19/2025,,,,,,,
1303,7/20/2025,,,,,,,
1304,7/21/2025,,,,,,,
1305,7/22/2025,,,,,,,
1306,7/23/2025,,,,,,,
1307,7/24/2025,,,,,,,
1308,7/25/2025,,,,,,,
1309,7/26/2025,,,,,,,
1310,7/27/2025,,,,,,,
1311,7/28/2025,,,,,,,
1312,7/29/2025,,,,,,,
1313,7/30/2025,,,,,,,
1314,7/31/2025,,,,,,,
1315,8/1/2025,NG-23,N1 Nadir,CRS2 Cygnus,,,,Launch
1316,8/2/2025,,,,,,,
1317,8/3/2025,DCC-3,N2 Nadir,Dream Chaser,,,,Undock
1318,8/3/2025,NG-23,N1 Nadir,CRS2 Cygnus,,,,Dock
1319,8/4/2025,USCV-11,N2 Fwd / PMA-2,USCV,,,,Launch
1320,8/5/2025,USCV-11,N2 Fwd / PMA-2,USCV,,,,Dock
1321,8/6/2025,,,,,,,
1322,8/7/2025,,,,,,,
1323,8/8/2025,,,,,,,
1324,8/9/2025,,,,,,,
1325,8/10/2025,,,,,,,
1326,8/11/2025,USCV-10,N2 Zenith,USCV,,,,Undock
1327,8/12/2025,,,,,,,
1328,8/13/2025,,,,,,,
1329,8/14/2025,,,,,,,
1330,8/15/2025,,,,,,,
1331,8/16/2025,,,,,,,
1332,8/17/2025,,,,,,,
1333,8/18/2025,,,,,,,
1334,8/19/2025,,,,,,,
1335,8/20/2025,,,,,,,
1336,8/21/2025,,,,,,,
1337,8/22/2025,,,,,,,
1338,8/23/2025,,,,,,,
1339,8/24/2025,,,,,,,
1340,8/25/2025,,,,,,,
1341,8/26/2025,,,,,,,
1342,8/27/2025,,,,,,,
1343,8/28/2025,,,,,,,
1344,8/29/2025,,,,,,,
1345,8/30/2025,91Progress,SM-Aft,Progress,,,,Undock
1346,8/31/2025,,,,,,,
1347,9/1/2025,93Progress,SM-Aft,Progress,,,,Launch
1348,9/2/2025,,,,,,,
1349,9/3/2025,93Progress,SM-Aft,Progress,,,,Dock
1350,9/4/2025,,,,,,,
1351,9/5/2025,,,,,,,
1352,9/6/2025,,,,,,,
1353,9/7/2025,,,,,,,
1354,9/8/2025,,,,,,,
1355,9/9/2025,,,,,,,
1356,9/10/2025,74Soyuz,MRM1 / FGB Nadir,Soyuz,,,,Dock
1357,9/11/2025,,,,,,,
1358,9/12/2025,,,,,,,
1359,9/13/2025,,,,,,,
1360,9/14/2025,,,,,,,
1361,9/15/2025,,,,,,,
1362,9/16/2025,,,,,,,
1363,9/17/2025,,,,,,,
1364,9/18/2025,,,,,,,
1365,9/19/2025,,,,,,,
1366,9/20/2025,73Soyuz,NM,Soyuz,,,,Undock
1367,9/21/2025,,,,,,,
1368,9/22/2025,,,,,,,
1369,9/23/2025,,,,,,,
1370,9/24/2025,,,,,,,
1371,9/25/2025,,,,,,,
1372,9/26/2025,,,,,,,
1373,9/27/2025,,,,,,,
1374,9/28/2025,,,,,,,
1375,9/29/2025,,,,,,,
1376,9/30/2025,NG-23,N1 Nadir,CRS2 Cygnus,,,,Undock
1377,10/1/2025,CRS 2-24,N2 Nadir,CRS2,,,,Launch
1378,10/2/2025,,,,,,,
1379,10/3/2025,,,,,,,
1380,10/4/2025,,,,,,,
1381,10/5/2025,CRS 2-24,N2 Nadir,CRS2,,,,Dock
1382,10/6/2025,,,,,,,
1383,10/7/2025,,,,,,,
1384,10/8/2025,,,,,,,
1385,10/9/2025,,,,,,,
1386,10/10/2025,,,,,,,
1387,10/11/2025,,,,,,,
1388,10/12/2025,,,,,,,
1389,10/13/2025,,,,,,,
1390,10/14/2025,,,,,,,
1391,10/15/2025,,,,,,,
1392,10/16/2025,,,,,,,
1393,10/17/2025,,,,,,,
1394,10/18/2025,,,,,,,
1395,10/19/2025,,,,,,,
1396,10/20/2025,,,,,,,
1397,10/21/2025,,,,,,,
1398,10/22/2025,,,,,,,
