,datedim,vehicle_name,port_name,vehicle_type,eva_name,eva_type,eva_accuracy,event
160,6/10/2022,,,,,,,
161,6/11/2022,,,,,,,
162,6/12/2022,,,,,,,
163,6/13/2022,,,,,,,
164,6/14/2022,,,,,,,
165,6/15/2022,,,,,,,
166,6/16/2022,,,,,,,
167,6/17/2022,,,,,,,
168,6/18/2022,,,,,,,
169,6/19/2022,,,,,,,
170,6/20/2022,,,,,,,
171,6/21/2022,,,,,,,
172,6/22/2022,,,,,,,
173,6/23/2022,,,,,,,
174,6/24/2022,,,,,,,
175,6/25/2022,,,,,,,
176,6/26/2022,,,,,,,
177,6/27/2022,,,,,,,
178,6/28/2022,NG-17,N1 Nadir,CRS2 Cygnus,,,,Undock
179,6/29/2022,NG-17,N1 Nadir,CRS2 Cygnus,,,,Landing
180,6/30/2022,,,,,,,
181,7/1/2022,,,,,,,
182,7/2/2022,,,,,,,
183,7/3/2022,,,,,,,
184,7/4/2022,,,,,,,
185,7/5/2022,,,,,,,
186,7/6/2022,,,,,,,
187,7/7/2022,,,,,,,
188,7/8/2022,,,,,,,
189,7/9/2022,,,,,,,
190,7/10/2022,,,,,,,
191,7/11/2022,,,,,,,
192,7/12/2022,,,,,,,
193,7/13/2022,,,,,,,
194,7/14/2022,,,,,,,
195,7/15/2022,SpX-25,N2 Fwd / PMA-2,Cargo Dragon,,,,Launch
196,7/16/2022,SpX-25,N2 Fwd / PMA-2,Cargo Dragon,,,,Dock
197,7/17/2022,,,,,,,
198,7/18/2022,,,,,,,
199,7/19/2022,,,,,,,
200,7/20/2022,,,,,,,
201,7/21/2022,,,,R-ESA,RS,Actual,EVA
202,7/22/2022,,,,,,,
203,7/23/2022,,,,,,,
204,7/24/2022,,,,,,,
205,7/25/2022,,,,,,,
206,7/26/2022,,,,,,,
207,7/27/2022,,,,,,,
208,7/28/2022,,,,,,,
209,7/29/2022,,,,,,,
210,7/30/2022,,,,,,,
211,7/31/2022,,,,,,,
212,8/1/2022,,,,,,,
213,8/2/2022,,,,,,,
214,8/3/2022,,,,,,,
215,8/4/2022,,,,,,,
216,8/5/2022,,,,,,,
217,8/6/2022,,,,,,,
218,8/7/2022,,,,,,,
219,8/8/2022,,,,,,,
220,8/9/2022,,,,,,,
221,8/10/2022,,,,,,,
222,8/11/2022,,,,,,,
223,8/12/2022,,,,,,,
224,8/13/2022,,,,,,,
225,8/14/2022,,,,,,,
226,8/15/2022,,,,,,,
227,8/16/2022,,,,,,,
228,8/17/2022,,,,R-54,RS,Actual,EVA
229,8/18/2022,,,,,,,
230,8/19/2022,SpX-25,N2 Fwd / PMA-2,Cargo Dragon,,,,Undock
231,8/20/2022,SpX-25,N2 Fwd / PMA-2,Cargo Dragon,,,,Landing
232,8/21/2022,,,,,,,
233,8/22/2022,,,,,,,
234,8/23/2022,,,,,,,
235,8/24/2022,,,,,,,
236,8/25/2022,,,,,,,
237,8/26/2022,,,,,,,
238,8/27/2022,,,,,,,
239,8/28/2022,,,,,,,
240,8/29/2022,,,,,,,
241,8/30/2022,,,,,,,
242,8/31/2022,,,,,,,
243,9/1/2022,,,,,,,
244,9/2/2022,,,,R-54A,RS,Actual,EVA
245,9/3/2022,,,,,,,
246,9/4/2022,,,,,,,
247,9/5/2022,,,,,,,
248,9/6/2022,,,,,,,
249,9/7/2022,,,,,,,
250,9/8/2022,,,,,,,
251,9/9/2022,,,,,,,
252,9/10/2022,,,,,,,
253,9/11/2022,,,,,,,
254,9/12/2022,,,,,,,
255,9/13/2022,,,,,,,
256,9/14/2022,,,,,,,
257,9/15/2022,,,,,,,
258,9/16/2022,,,,,,,
259,9/17/2022,,,,,,,
260,9/18/2022,,,,,,,
261,9/19/2022,,,,,,,
262,9/20/2022,,,,,,,
263,9/21/2022,68Soyuz,MRM1 / FGB Nadir,Soyuz,,,,Dock
264,9/22/2022,,,,,,,
265,9/23/2022,,,,,,,
266,9/24/2022,,,,,,,
267,9/25/2022,,,,,,,
268,9/26/2022,,,,,,,
269,9/27/2022,,,,,,,
270,9/28/2022,,,,,,,
271,9/29/2022,67Soyuz,NM,Soyuz,,,,Undock
272,9/30/2022,,,,,,,
273,10/1/2022,,,,,,,
274,10/2/2022,,,,,,,
275,10/3/2022,,,,,,,
276,10/4/2022,,,,,,,
277,10/5/2022,Crew-5,N2 Fwd / PMA-2,Crew Dragon,,,,Launch
278,10/6/2022,Crew-5,N2 Fwd / PMA-2,Crew Dragon,,,,Dock
279,10/7/2022,,,,,,,
280,10/8/2022,,,,,,,
281,10/9/2022,,,,,,,
282,10/10/2022,,,,,,,
283,10/11/2022,,,,,,,
284,10/12/2022,,,,,,,
285,10/13/2022,,,,,,,
286,10/14/2022,Crew-4,N2 Zenith,Crew Dragon,,,,Undock
287,10/15/2022,,,,,,,
288,10/16/2022,,,,,,,
289,10/17/2022,,,,,,,
290,10/18/2022,,,,,,,
291,10/19/2022,,,,,,,
292,10/20/2022,,,,,,,
293,10/21/2022,,,,,,,
294,10/22/2022,,,,,,,
295,10/23/2022,80Progress,MRM2 / SM Zenith,Progress,,,,Undock
296,10/24/2022,80Progress,MRM2 / SM Zenith,Progress,,,,Landing
297,10/25/2022,,,,,,,
298,10/26/2022,82Progress,MRM2 / SM Zenith,Progress,,,,Launch
299,10/27/2022,,,,,,,
300,10/28/2022,82Progress,MRM2 / SM Zenith,Progress,,,,Dock
301,10/29/2022,,,,,,,
302,10/30/2022,,,,,,,
303,10/31/2022,,,,,,,
304,11/1/2022,,,,,,,
305,11/2/2022,,,,,,,
306,11/3/2022,,,,,,,
307,11/4/2022,,,,,,,
308,11/5/2022,,,,,,,
309,11/6/2022,,,,,,,
310,11/7/2022,NG-18,N1 Nadir,CRS2 Cygnus,,,,Launch
311,11/8/2022,,,,,,,
312,11/9/2022,NG-18,N1 Nadir,CRS2 Cygnus,,,,Dock
313,11/10/2022,,,,,,,
314,11/11/2022,,,,,,,
315,11/12/2022,,,,,,,
316,11/13/2022,,,,,,,
317,11/14/2022,,,,,,,
318,11/15/2022,,,,U-81 (IROSA Prep 1B),US,Actual,EVA
319,11/16/2022,,,,,,,
320,11/17/2022,,,,R-55,RS,Actual,EVA
321,11/18/2022,,,,,,,
322,11/19/2022,,,,,,,
323,11/20/2022,,,,,,,
324,11/21/2022,,,,,,,
325,11/22/2022,,,,,,,
326,11/23/2022,,,,,,,
327,11/24/2022,,,,,,,
328,11/25/2022,,,,,,,
329,11/26/2022,SpX-26,N2 Zenith,Cargo Dragon,,,,Launch
330,11/27/2022,SpX-26,N2 Zenith,Cargo Dragon,,,,Dock
331,11/28/2022,,,,,,,
332,11/29/2022,,,,,,,
333,11/30/2022,,,,,,,
334,12/1/2022,,,,,,,
335,12/2/2022,,,,,,,
336,12/3/2022,,,,U-82 (IROSA 3A),US,Actual,EVA
337,12/4/2022,,,,,,,
338,12/5/2022,,,,,,,
339,12/6/2022,,,,,,,
340,12/7/2022,,,,U (December IROSA Contingency),US,Not Needed,EVA
341,12/8/2022,,,,,,,
342,12/9/2022,,,,,,,
343,12/10/2022,,,,,,,
344,12/11/2022,,,,,,,
345,12/12/2022,,,,,,,
346,12/13/2022,,,,,,,
347,12/14/2022,,,,,,,
348,12/15/2022,,,,,,,
349,12/16/2022,,,,,,,
350,12/17/2022,,,,,,,
351,12/18/2022,,,,,,,
352,12/19/2022,,,,,,,
353,12/20/2022,,,,,,,
354,12/21/2022,,,,,,,
355,12/22/2022,,,,U-83 (IROSA 4A),US,Actual,EVA
356,12/23/2022,,,,,,,
357,12/24/2022,,,,,,,
358,12/25/2022,,,,,,,
359,12/26/2022,,,,,,,
360,12/27/2022,,,,,,,
361,12/28/2022,,,,,,,
362,12/29/2022,,,,,,,
363,12/30/2022,,,,,,,
364,12/31/2022,,,,,,,
365,1/1/2023,,,,,,,
366,1/2/2023,,,,,,,
367,1/3/2023,,,,,,,
368,1/4/2023,,,,,,,
369,1/5/2023,,,,,,,
370,1/6/2023,,,,,,,
